row,path,generator,is_real,split,label,content,content_label_source,annotator,review_status
0,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\269_midjourney_2.jpg,midjourney,0,val,1,,,,unreviewed
1,C:\datasets\genimage_norm_crop\WildFake\AI\ddpm\ddpm_000093.jpg,wildfake,0,val,1,,,,unreviewed
2,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n04367480_2505.jpg,real,1,val,0,,,,unreviewed
3,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_001768.jpg,real,1,val,0,,,,unreviewed
4,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_03028.jpg,stylegan,0,val,1,,,,unreviewed
5,C:\datasets\genimage_norm_crop\WildFake\AI\adm\adm_001633.jpg,wildfake,0,val,1,,,,unreviewed
6,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n01622779_2138.jpg,real,1,val,0,,,,unreviewed
7,C:\datasets\genimage_norm_crop\WildFake\AI\ddpm\ddpm_002818.jpg,wildfake,0,val,1,,,,unreviewed
8,C:\datasets\genimage_norm_crop\WildFake\NATURE\afhq\afhq_003438.jpg,real,1,val,0,,,,unreviewed
9,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\278_midjourney_19.jpg,midjourney,0,val,1,,,,unreviewed
10,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n02423022_8559.jpg,real,1,val,0,,,,unreviewed
11,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n02276258_5229.jpg,real,1,val,0,,,,unreviewed
12,C:\datasets\genimage_norm_crop\imagenet_ai_0424_sdv5\NATURE\n01795545_4919.jpg,real,1,val,0,,,,unreviewed
13,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\844_adm_0.jpg,adm,0,val,1,,,,unreviewed
14,C:\datasets\genimage_norm_crop\WildFake\AI\adm\adm_001604.jpg,wildfake,0,val,1,,,,unreviewed
15,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_000367.jpg,real,1,val,0,,,,unreviewed
16,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n02415577_900.jpg,real,1,val,0,,,,unreviewed
17,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_00436.jpg,stylegan,0,val,1,,,,unreviewed
18,C:\datasets\genimage_norm_crop\WildFake\AI\adm\adm_000195.jpg,wildfake,0,val,1,,,,unreviewed
19,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n04251144_4737.jpg,real,1,val,0,,,,unreviewed
20,C:\datasets\genimage_norm_crop\WildFake\AI\ddpm\ddpm_003126.jpg,wildfake,0,val,1,,,,unreviewed
21,C:\datasets\genimage_norm_crop\WildFake\NATURE\afhq\afhq_000532.jpg,real,1,val,0,,,,unreviewed
22,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\607_adm_62.jpg,adm,0,val,1,,,,unreviewed
23,C:\datasets\genimage_norm_crop\real_extra\places365\food_07938.jpg,real_extra,1,val,0,,,,unreviewed
24,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n03814639_384.jpg,real,1,val,0,,,,unreviewed
25,C:\datasets\genimage_norm_crop\WildFake\NATURE\imagenet\imagenet_001042.jpg,real,1,val,0,,,,unreviewed
26,C:\datasets\genimage_norm_crop\unseen_generators\dcgan_pretrained\dcgan_04021.jpg,dcgan,0,val,1,,,,unreviewed
27,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n02422106_11408.jpg,real,1,val,0,,,,unreviewed
28,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n04067472_9583.jpg,real,1,val,0,,,,unreviewed
29,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\865_adm_32.jpg,adm,0,val,1,,,,unreviewed
30,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\AI\679_adm_149.jpg,adm,0,val,1,,,,unreviewed
31,C:\datasets\genimage_norm_crop\unseen_generators\dcgan_pretrained\dcgan_03257.jpg,dcgan,0,val,1,,,,unreviewed
32,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n03662601_11952.jpg,real,1,val,0,,,,unreviewed
33,C:\datasets\genimage_norm_crop\WildFake\NATURE\church\church_000709.jpg,real,1,val,0,,,,unreviewed
34,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n04243546_30313.jpg,real,1,val,0,,,,unreviewed
35,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_09_901_glide_00026.jpg,glide,0,val,1,,,,unreviewed
36,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n04606251_12307.jpg,real,1,val,0,,,,unreviewed
37,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_07_791_glide_00006.jpg,glide,0,val,1,,,,unreviewed
38,C:\datasets\genimage_norm_crop\WildFake\AI\adm\adm_001102.jpg,wildfake,0,val,1,,,,unreviewed
39,C:\datasets\genimage_norm_crop\glide\imagenet_glide\AI\GLIDE_1000_200_05_566_glide_00181.jpg,glide,0,val,1,,,,unreviewed
40,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\ILSVRC2012_val_00037504.jpg,real,1,val,0,,,,unreviewed
41,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\NATURE\n04336792_15576.jpg,real,1,val,0,,,,unreviewed
42,C:\datasets\genimage_norm_crop\glide\imagenet_glide\NATURE\n01914609_9461.jpg,real,1,val,0,,,,unreviewed
43,C:\datasets\genimage_norm_crop\real_extra\places365\cars_02430.jpg,real_extra,1,val,0,,,,unreviewed
44,C:\datasets\genimage_norm_crop\real_extra\places365\cars_04146.jpg,real_extra,1,val,0,,,,unreviewed
45,C:\datasets\genimage_norm_crop\real_extra\places365\food_00444.jpg,real_extra,1,val,0,,,,unreviewed
46,C:\datasets\genimage_norm_crop\ADM\imagenet_ai_0508_adm\NATURE\n04004767_182.jpg,real,1,val,0,,,,unreviewed
47,C:\datasets\genimage_norm_crop\WildFake\NATURE\imagenet\imagenet_004208.jpg,real,1,val,0,,,,unreviewed
48,C:\datasets\genimage_norm_crop\WildFake\AI\ddpm\ddpm_000435.jpg,wildfake,0,val,1,,,,unreviewed
49,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\341_midjourney_56.jpg,midjourney,0,val,1,,,,unreviewed
50,C:\datasets\genimage_norm_crop\stable_diffusion_v1_4\imagenet_ai_0419_sdv4\AI\063_sdv4_00143.jpg,sdv4,0,val,1,,,,unreviewed
51,C:\datasets\genimage_norm_crop\Midjourney\imagenet_midjourney\AI\302_midjourney_41.jpg,midjourney,0,val,1,,,,unreviewed
52,C:\datasets\genimage_norm_crop\unseen_generators\gan\gan_00179.jpg,stylegan,0,val,1,,,,unreviewed
